Ticket ID,Title,Detailed Description,Source Document,Tech Assigned,Estimated Hours,Recurring Frequency,Recurring
AFFG-011,Document Critical Business Constituent Impact Procedures,"MEDIUM (Phase 3, 60-90 days). No procedures for assessing impact on critical business constituents, banks, and counterparties. Identify all clearing firms, custodians, banks, and counterparties, and add procedures to notify them of disruptions, maintain operational connectivity, access backup systems, and document impact assessments.",FINRA 4370(c)(7) / Finding 11,Sai Revanth,6,One-time,No
AFFG-012,Add Regulatory Reporting Continuity Procedures,"MEDIUM (Phase 3, 60-90 days). The BCP lacks procedures for maintaining regulatory reporting (FOCUS reports, trade reporting) during a disruption. Add a list of all filings and deadlines, alternate submission methods, designated personnel, and procedures for requesting extensions.",FINRA 4370(c)(8) / Finding 12,Sai Revanth,5,One-time,No
AFFG-013,Create BCP Customer Disclosure Statement,"MEDIUM (Phase 3, 60-90 days). No customer disclosure provisions. Create a BCP disclosure statement and procedures to provide it at account opening, post it on the firm website, mail it on request, update on material change, and address varying disruption scenarios (firm-only, building, district, city, regional).",FINRA 4370(e) / Finding 13,Sai Revanth,5,One-time,No
AFFG-014,Register and Maintain FINRA Contact System Emergency Contacts,"MEDIUM (Phase 3, 60-90 days). The BCP lists two emergency contacts but does not reference the FINRA Contact System (FCS) or the update/review requirement. Add procedures to register and maintain emergency contacts in FCS, update promptly on material change, and review annually by the 17th business day after year-end.",FINRA 4370(f) / Finding 14,Sai Revanth,4,One-time,No
AFFG-015,Add Supervisory Continuity Provisions,"HIGH (Phase 2, 30-60 days). The BCP does not address continuity of supervisory functions and Written Supervisory Procedures. Add a Supervisory Continuity section: alternate supervisory personnel, communications review during disruption, customer-account monitoring continuity, trade supervision at alternate locations, and documentation of supervisory activities.",FINRA 3110 / Finding 15,Sai Revanth,8,One-time,No
AFFG-016,Add Registered Principal Approval and Version Control,"MEDIUM (Phase 3, 60-90 days). The BCP shows no registered-principal approval, signature block, approval date, or annual-review evidence. Add a formal approval section with a registered-principal signature block, approval date, annual-review certification, and a version-control/change log.",FINRA 4370(b) / Finding 16,Sai Revanth,3,One-time,No
AFFG-017,Expand Cybersecurity Incident Response Integration,"HIGH (Phase 1, 0-30 days). The Unauthorized Access subsection is two vague bullets. Significantly expand the cybersecurity section or reference a standalone Cybersecurity Incident Response Plan covering intrusion detection/prevention, endpoint protection, MFA, network segmentation, forensic investigation, law-enforcement coordination, and cyber insurance.",SEC Reg S-P / FINRA Best Practices / Finding 17,Sai Revanth,12,One-time,No
AFFG-018,Add Customer Information Disposal Procedures,"MEDIUM (Phase 3, 60-90 days). No procedures for proper disposal of customer and consumer-report information as required by Reg S-P. Add disposal procedures: secure wiping/degaussing of electronic records, cross-cut shredding of hard copy, disposal documentation, and third-party disposal-vendor oversight.",SEC Reg S-P / Finding 18,Sai Revanth,4,One-time,No
AFFG-019,Comprehensive BCP Refresh and Currency Update,"MEDIUM (Phase 3, 60-90 days). The BCP is over two years old (dated October 2023) with stale personnel, contacts, and technology references. Verify all personnel/contacts/titles, update technology references, document the annual review with date and reviewer, and implement version control.",FINRA 4370(b) / Finding 19,Sai Revanth,8,One-time,No
AFFG-020,Document Alternate Site Capabilities and Agreements,"LOW (best practice). The alternate site (84 Spacial, Irvine, CA 92618) and a hotel-conference-room option lack detail. Document available infrastructure (desks, connectivity, phones), capacity, pre-arranged agreements, activation time, and regular readiness testing.",FINRA 4370(c)(6) / Finding 20,Sai Revanth,4,One-time,No
AFFG-021,Annual BCP Review and Registered Principal Approval,"Conduct the annual review and update of AFFG's Business Continuity Plan and obtain registered-principal approval. Validate RTO/RPO, recovery strategies, contacts, and technology references; document the review date and reviewer; update the version/change log.",FINRA 4370(b),Sai Revanth,8,Annually,Yes
AFFG-022,Annual FINRA Contact System Emergency Contact Review,"Review and update AFFG's emergency contacts in the FINRA Contact System (FCS) by the 17th business day following year-end, and update promptly upon any material change. Document each update and the annual review.",FINRA 4370(f),Sai Revanth,2,Annually (by 17th business day after year-end),Yes
AFFG-023,Annual BCP Test and Tabletop Exercise,"Plan and execute an annual BCP test (tabletop or functional) across disruption scenarios (firm-only, building, district, city, regional). Validate activation, communications, mission-critical system recovery, and customer-access procedures. Document results and remediation actions.",FINRA 4370,Sai Revanth,8,Annually,Yes
AFFG-024,Quarterly Backup Restoration Testing,"Perform restoration tests of AFFG backups against documented RPO/RTO for each data category. Verify integrity of restored data and document results; remediate failures and retest.",FINRA 4370(c)(1),Sai Revanth,4,Quarterly,Yes
AFFG-025,Semi-Annual Employee Call Tree and Notification Test,"Test AFFG's employee emergency notification chain (call tree, mass notification, SMS/messaging backups). Confirm all personnel are reached within target time; document results and update contacts.",FINRA 4370(c)(5),Sai Revanth,2,Semi-annually,Yes
AFFG-026,Annual Service Provider Oversight Review,"Review all AFFG service providers with access to customer information: confirm contractual 72-hour breach-notification clauses, refresh due-diligence and security-posture assessments, and reconcile the provider inventory. Document findings and required remediation.",SEC Reg S-P 2024,Sai Revanth,6,Annually,Yes
AFFG-027,Maintain Reg S-P Compliance Records (5-Year Retention),"Maintain AFFG's Reg S-P records: policies and procedures, incident reports, breach notifications, and testing results, retained for five years in the designated repository. Verify completeness and retention on an ongoing basis.",SEC Reg S-P 2024,Sai Revanth,4,One-time + ongoing,Yes
AFFG-028,Maintain Customer BCP Disclosure (Website and Account Opening),"Keep AFFG's BCP customer disclosure current and available: posted on the firm website, provided at account opening, mailed upon request, and updated on material change.",FINRA 4370(e),Sai Revanth,3,One-time + review annually,Yes
AFFG-029,Annual Reg S-P Incident Response Tabletop,"Exercise AFFG's incident response and customer breach-notification procedures annually via a tabletop simulating unauthorized access to customer information. Validate the 30-day notification timeline and service-provider coordination; document results and improvements.",SEC Reg S-P 2024,Sai Revanth,4,Annually,Yes
