Ticket ID,Title,Detailed Description,Source Document,Tech Assigned,Estimated Hours,Recurring Frequency,Recurring
WISP-011,Microsoft 365 Third-Party Backup Solution,"Evaluate and deploy a third-party backup solution for Microsoft 365 (Exchange, SharePoint, OneDrive, Teams). Configure backup schedules aligned with RPO targets. Verify restore capabilities with test restores. Document backup and restore procedures.",WISP Section 9.2,Sai Revanth,12,One-time + verify monthly,Yes
WISP-012,Review and Update Cyber Insurance Policy,"Review current cyber insurance policy (Tokyo Marine HCC #H25TG32029-04) with broker. Confirm coverage limits are adequate for current revenue, client count, and data volumes. Verify coverage includes: breach response, business interruption, ransomware/extortion, regulatory defense, third-party liability. Document coverage summary for IRT reference.",WISP Section 10,Sai Revanth,4,Annually,Yes
WISP-013,Establish Privacy Impact Assessment Process,"Create a privacy impact assessment (PIA) template and process. Define triggers for when a PIA is required (new systems, new vendors, new client engagements with PII/PHI). Assign the Security Officer as PIA reviewer. Conduct initial PIAs for all current data processing activities. Store completed PIAs in the controlled document repository.",WISP Section 11.2,Sai Revanth,8,One-time + per new system/vendor,No
WISP-014,Implement Change Management Process,"Establish a formal change management process in the ticketing system. Create change request templates with fields for: description, justification, risk classification, affected systems, rollback plan, testing requirements, approvals. Define approval workflows for Standard, Normal, and Emergency changes. Train all IT staff on the process.",WISP Section 12.1,Sai Revanth,12,One-time + ongoing,Yes
WISP-015,Build Security Metrics Dashboard,"Create a monthly security metrics dashboard tracking: patch compliance, MFA adoption, EDR coverage, phishing click rate, MTTD/MTTR, backup success rate, vuln remediation within SLA, access review completion, training completion, overdue risk items. Automate data collection where possible. Distribute monthly to CEO.",WISP Section 13.1,Sai Revanth,16,One-time + report monthly,Yes
WISP-016,Conduct Annual Risk Assessment,"Perform the formal annual risk assessment per WISP Section 3. Inventory all information assets, identify threats and vulnerabilities, assess likelihood and impact, calculate risk ratings, and select treatment strategies. Update the risk register. Present findings to CEO for review and approval. Retain documentation for 3 years.",WISP Section 3.2,Sai Revanth,16,Annually,Yes
WISP-017,Quarterly Access Reviews,"Generate access reports for all systems (AD, M365, cloud services, client environments, VPN, RMM, PSA). Managers review and confirm or revoke access for their direct reports. Security Officer reviews privileged access. Revoke excess permissions within 5 business days. Document review with sign-offs and retain for 3 years.",WISP Section 4.3,Sai Revanth,8,Quarterly,Yes
WISP-018,Quarterly Phishing Simulations,"Design and execute simulated phishing campaigns targeting all Technijian personnel. Vary scenarios across campaigns (credential harvesting, malware attachment, BEC, urgent request). Track click rates and report rates. Deliver additional targeted training to staff who fail. Escalate repeat failures to management. Report results in security metrics.",WISP Section 15.2,Sai Revanth,4,Quarterly,Yes
WISP-019,Annual Security Awareness Training,"Develop and deliver annual security awareness refresher training for all personnel. Content must cover: current threats, policy updates, phishing/social engineering, data classification, incident reporting, password hygiene, physical security. Track completion in HR system. Achieve 100% completion within 30 days of launch.",WISP Section 15.2,Sai Revanth,8,Annually,Yes
WISP-020,Monthly Vulnerability Scans - Internal and External,"Execute internal and external vulnerability scans monthly using an approved scanning tool. Prioritize findings by CVSS score. Remediate Critical (72 hrs), High (7 days), Medium (30 days), Low (90 days). Track remediation to completion. Document exceptions with compensating controls and Security Officer approval.",WISP Section 6.3,Sai Revanth,8,Monthly,Yes
WISP-021,Annual Penetration Test,"Engage a qualified third-party firm to conduct an annual penetration test covering external-facing systems, internal network, and critical applications. Remediate Critical and High findings within defined SLAs. Retest to confirm remediation. Retain the report for audit purposes (3 years).",WISP Section 6.3,Sai Revanth,4,Annually (coordination),Yes
WISP-022,Annual Vendor Risk Reassessment,Reassess all critical vendors (those with access to Restricted/Confidential data or providing critical infrastructure services) using the vendor security questionnaire. Review updated SOC 2 reports. Verify contractual security requirements remain in place. Document findings and any required remediation actions.,WISP Section 14.2,Sai Revanth,12,Annually,Yes
WISP-023,Review TPX SOC 2 Type II Report (Primary SOC 2 Compliance),"Obtain the latest TPX Communications SOC 2 Type II report as Technijian's primary SOC 2 compliance mechanism for production systems. Review the full report including: auditor opinion, control descriptions, test results, and any exceptions or deficiencies. Verify all CUECs are implemented by Technijian (cross-reference with WISP-027 annual CUEC verification). Confirm no material deficiencies affect Technijian's production environment. Prepare reliance summary for client requests. Escalate any findings requiring remediation to Security Officer.",WISP Section 14.4 / Section 17.3,Sai Revanth,6,Annually,Yes
WISP-024,Quarterly Firewall Rule Review,"Review all firewall rule sets for accuracy, necessity, and compliance with deny-by-default principles. Remove stale or unnecessary rules. Verify rules align with current network architecture and client segmentation requirements. Document review with date, reviewer, and changes made.",WISP Section 6.1,Sai Revanth,4,Quarterly,Yes
WISP-025,Weekly Privileged Account Log Review,"Review logs for privileged account activity on high-risk systems (domain controllers, firewalls, client production systems). Look for anomalous authentication, unauthorized configuration changes, and unexpected data access. Escalate suspicious findings per IRP. Document review completion.",WISP Section 4.4,Sai Revanth,2,Weekly,Yes
IRP-001,Deploy Huntress SIEM Platform,"Evaluate, procure, and deploy Huntress SIEM. Configure log ingestion from all required sources: firewalls, EDR (CrowdStrike), Windows Event Logs, AD/Azure AD, VPN, cloud platforms, email gateway, DNS, application logs. Tune detection rules. Establish alert triage workflow. Train SOC analysts on the platform.",IRP Section 4.1 / WISP Section 6.5,Sai Revanth,40,One-time + maintain ongoing,Yes
IRP-002,Develop Incident Response Playbooks,"Create detailed step-by-step playbooks for each incident type: Ransomware, Phishing/BEC, Insider Threat, Client Data Breach, Third-Party Compromise, Lost/Stolen Device, Denial of Service. Each playbook should include detection indicators, containment steps, evidence preservation, eradication, recovery, communication templates, and regulatory checklists.",IRP Section 10.2,Sai Revanth,24,One-time + review annually,Yes
IRP-003,Conduct Annual IRP Tabletop Exercise,"Plan and execute a tabletop exercise with the full IRT. Select a scenario from the rotation list (ransomware, client data breach, insider threat, third-party compromise). Facilitator presents scenario with injects. Walk through response decisions, communications, and regulatory notifications. Document gaps and improvement actions.",IRP Section 10.1,Sai Revanth,8,Annually,Yes
IRP-004,Quarterly Emergency Contact Verification,Verify all contact information in IRP Appendix B and BCP Appendix B. Call each number and confirm it reaches the correct person. Verify personal email addresses. Update any changed information. Document verification date and results.,IRP Section 10.3 / BCP Appendix B,Sai Revanth,2,Quarterly,Yes
IRP-005,Establish Forensics Retainer Agreement,"Engage Salvage Data (or alternate forensics firm) to establish a pre-paid retainer agreement. Define scope of services, response time SLAs, hourly rates, and evidence handling procedures. Execute the agreement so that forensic support can be engaged immediately during an incident without contract delays.",IRP Section 2.3,Sai Revanth,4,One-time + renew annually,Yes
IRP-006,Subscribe to Threat Intelligence Feeds,"Subscribe to CISA alerts, MS-ISAC advisories, and CompTIA ISAO (or equivalent MSP-focused ISAO). Configure automated delivery of advisories to Security Officer. Establish a process to evaluate each advisory for applicability and update detection rules or patching priorities accordingly. Document IOC management procedures.",IRP Section 4.3,Sai Revanth,4,One-time + review ongoing,Yes
IRP-007,Configure Dark Web Monitoring,"Deploy or subscribe to a dark web monitoring service covering Technijian and client domains, email addresses, and key personnel. Configure alerting for credential exposure, data leaks, and brand mentions. Establish a response process: immediate forced password reset for exposed credentials, incident investigation for data leaks.",IRP Section 4.3,Sai Revanth,8,One-time + monitor continuously,Yes
IRP-008,Annual IRP Plan Review and Update,Conduct the annual review of the Incident Response Plan. Verify all contact information. Update procedures based on lessons learned from incidents and tabletop exercises. Incorporate regulatory changes. Update technology and vendor references. Obtain Security Officer and CEO sign-off. Distribute updated plan to IRT members.,IRP Section 10.3,Sai Revanth,4,Annually,Yes
BCP-001,Conduct Semi-Annual BCP Tabletop Exercise,"Plan and execute a BCP tabletop exercise with the BC team. Select a disruption scenario (data center failure, cyberattack, facility loss, pandemic, vendor outage). Walk through activation criteria, decision-making, communication procedures, and recovery steps. Document gaps and improvement actions with owners and target dates.",BCP Section 7.1,Sai Revanth,8,Semi-annually,Yes
BCP-002,Quarterly Communication Test (Phone Tree),"Test the emergency notification chain: phone tree, email cascade, and messaging. Verify that all BC team members and IRT members are reached within 30 minutes. Test alternate communication channels (personal email, personal phones). Document results and update contact information as needed.",BCP Section 7.1,Sai Revanth,2,Quarterly,Yes
BCP-003,Monthly File-Level Backup Restoration Test,"Restore individual files from each backup tier (Tier 1, Tier 2, Tier 3). Verify file integrity and content. Document: date, tester, systems tested, recovery time, data integrity verification (pass/fail), and any issues identified. Remediate failures within 30 days and retest.",BCP Section 4.3,Sai Revanth,4,Monthly,Yes
BCP-004,Quarterly System-Level Backup Restoration Test,"Restore a complete Tier 1 system to an isolated test environment. Verify the system boots, applications function correctly, and data integrity is intact. Measure actual recovery time against RTO target. Document results. Remediate any failures within 30 days.",BCP Section 4.3,Sai Revanth,8,Quarterly,Yes
BCP-005,Semi-Annual Bare-Metal Recovery Test,Perform a full bare-metal recovery of a representative production system. Measure actual recovery time against RTO target. Verify application functionality and data integrity post-recovery. Document all results including deviations from expected recovery time. Address any gaps identified.,BCP Section 4.3,Sai Revanth,8,Semi-annually,Yes
BCP-006,Annual Full DR Drill,Simulate a major disaster scenario and execute full recovery procedures. Failover representative Tier 1 and Tier 2 systems to the DR environment. Measure actual RTO and RPO against targets for all tiers. Test client connectivity. Execute failback to primary. Document comprehensive results and improvement actions.,BCP Section 7.1,Sai Revanth,16,Annually,Yes
BCP-007,Annual BCP Plan Review and Update,"Conduct the annual review of the BCP/DR plan. Validate RTO/RPO targets remain appropriate. Verify recovery strategies are current and technically feasible. Update contact information, dependencies, vendor information, and backup architecture. Validate communication templates. Obtain Security Officer and CEO sign-off.",BCP Section 7.4,Sai Revanth,8,Annually,Yes
BCP-008,Annual BCP Awareness Training,"Develop and deliver BCP awareness training for all staff. Cover: plan overview, individual roles during disruption, communication procedures, remote work expectations, and how to report a disruption. Provide additional role-specific training for BC team members. Track completion and retain records for 3 years.",BCP Section 7.2,Sai Revanth,4,Annually,Yes
BCP-009,Verify Emergency Operating Reserve,Confirm that the emergency operating reserve (minimum 90 days of operating expenses) is maintained in accessible accounts. Review reserve amount against current operating costs. Adjust if needed. Verify auto-pay is configured for critical vendor payments and payroll continuity.,BCP Section 7.3,Sai Revanth,2,Annually,Yes
BCP-010,Configure Backup Monitoring and Alerting,"Ensure 24/7 automated monitoring is active for all backup jobs across all tiers. Verify alerting is configured for: failed/incomplete/missed backups, storage capacity thresholds, and replication lag exceeding RPO. Confirm remediation SLA (4 hours for failed jobs, Security Officer notification at 8 hours). Generate and review weekly backup status reports.",BCP Section 4.2,Sai Revanth,8,One-time + monitor weekly,Yes
BCP-011,Pandemic Staffing Drill,"Simulate a reduced-staffing scenario per BCP Section 3.5. Test minimum viable operations with limited personnel across client monitoring, helpdesk, security operations, and management. Validate that vendor augmentation contacts are current and procedures are workable. Document gaps and improvement actions.",BCP Section 7.1,Sai Revanth,4,Annually,Yes
BCP-012,Annual Cyber Insurance Policy Review and Renewal,"Review cyber insurance policy with broker before renewal. Update coverage based on changes in revenue, client count, data volumes, and risk assessment findings. Confirm policy terms cover current threat landscape (ransomware, BEC, supply chain). Distribute updated coverage summary to IRT members.",BCP Section 7.3 / WISP Section 10,Sai Revanth,4,Annually,Yes
WISP-026,Annual Internal Security Audit,"Conduct the annual internal review of security controls and policy compliance covering all WISP sections: access controls, data protection, network security, email security, DLP, cloud security, vendor management, HR security, physical security, change management, and incident response readiness. Document findings with severity ratings, remediation actions, owners, and target dates. Track remediation to completion.",WISP Section 17.2,Sai Revanth,16,Annually,Yes
WISP-027,Annual SOC 2 Reliance Review and CUEC Verification,Obtain the latest TPX Communications SOC 2 Type II report covering the production data center. Review the report for any control deficiencies or qualified opinions that could affect Technijian's production environment. Map all Complementary User Entity Controls (CUECs) from the report and verify each is implemented within Technijian's environment. Document verification results with evidence for each CUEC. Remediate any gaps within 30 days. Prepare a SOC 2 reliance summary for distribution to Technijian clients upon request (under NDA).,WISP Section 17.3,Sai Revanth,8,Annually,Yes
WISP-028,Collect Personal Phone Numbers for Key Personnel,"Collect personal/backup phone numbers and personal email addresses for all key IRT and BC team members: Rishad Mohammed, Sai Revanth, Alex Alcantar, Aditya Saraf. Update IRP Appendix B and BCP Appendix B. Required for 30-minute off-hours reachability and communication when corporate systems are down.",IRP Appendix B / BCP Appendix B,Sai Revanth,1,One-time + verify quarterly,Yes
WISP-029,Data Retention and Destruction Compliance Review,Audit current data storage against the retention schedule in WISP Section 5.3. Identify data exceeding retention periods. Execute secure destruction per NIST SP 800-88 methods. Obtain and file certificates of destruction. Log all destruction activities. Ensure no Restricted data is stored on personal devices.,WISP Section 5.3,Sai Revanth,8,Annually,Yes
WISP-030,Implement Password Vault for Privileged Accounts,Deploy or verify a password vault solution for all privileged accounts. Ensure unique complex passwords per account. Configure automated rotation. Restrict vault access to authorized personnel. Enable audit logging for all vault access. Inventory all privileged accounts and onboard them to the vault.,WISP Section 4.4,Sai Revanth,12,One-time + maintain ongoing,Yes
WISP-031,Build and Maintain IT Asset Inventory,"Create a comprehensive inventory of all information assets: hardware (servers, workstations, laptops, network equipment, mobile devices), software (OS, applications, SaaS, licenses), data stores (databases, file shares, cloud storage), network assets (firewalls, switches, APs), cloud services (M365, Azure, AWS, SaaS tools), and client environments. Track attributes per WISP Section 2.4. Implement quarterly review cycle and annual reconciliation. Deploy unauthorized asset detection on the network.",WISP Section 2.4,Sai Revanth,16,One-time + quarterly review,Yes
WISP-032,Harden Wireless Network Security,Audit all wireless networks at Technijian office and client sites. Upgrade to WPA3 or WPA2-Enterprise minimum. Configure 802.1X authentication for corporate SSID against AD/Azure AD. Isolate guest wireless via VLAN with internet-only access. Disable SSID broadcast for corporate networks where feasible. Deploy rogue AP detection. Document wireless security standards for client site deployments.,WISP Section 6.4,Sai Revanth,8,One-time + audit annually,Yes
WISP-033,Establish BAA Inventory and Tracking Process,"Create a register of all active Business Associate Agreements (BAAs) with healthcare clients. Track: client name, BAA execution date, scope of services, PHI data types, renewal/expiration date. Review all active BAAs annually for currency. Ensure downstream BAAs are in place with any subcontractors accessing PHI. Document BAA termination and PHI destruction procedures.",WISP Section 14.3,Sai Revanth,6,One-time + review annually,Yes
CMMC-001,Develop NIST 800-171 System Security Plan (SSP),"Author a System Security Plan documenting how Technijian implements all 110 NIST SP 800-171 Rev 2 security requirements across its own environment. Map each control to existing WISP/IRP/BCP procedures and technical configurations, define the system boundary, describe network and data flows, and identify inherited controls (TPX data center, Microsoft 365). Maintain as the authoritative control-mapping artifact provided to DoD-adjacent clients and assessors.",CMMC Readiness / NIST 800-171 CA.L2-3.12.4,Sai Revanth,32,One-time + review annually,Yes
CMMC-002,Conduct NIST 800-171 Self-Assessment and Calculate SPRS Score,"Perform a self-assessment of all 110 NIST SP 800-171 requirements using the DoD Assessment Methodology. Score each control met/not met, apply the weighted scoring to produce the SPRS score (max 110), and capture evidence for each met control. Record the score and assessment date for use in prime and client conversations. Re-score after each material remediation.",CMMC Readiness / NIST 800-171 CA.L2-3.12.2,Sai Revanth,24,One-time + reassess annually,Yes
CMMC-003,Build and Maintain POA&M for Open 800-171 Gaps,"Create a Plan of Action and Milestones tracking every NIST 800-171 requirement not yet fully implemented. For each gap record the deficiency, planned remediation, responsible owner, milestone dates, and any compensating controls. Review monthly and update as items close. The POA&M is required alongside the SSP and SPRS score for DoD work.",CMMC Readiness / NIST 800-171 CA.L2-3.12.3,Sai Revanth,12,One-time + review monthly,Yes
CMMC-004,Create Shared/Customer Responsibility Matrix (CRM) Template,"Develop a reusable Customer Responsibility Matrix mapping each applicable NIST 800-171 control to who performs it for a client engagement: Technijian, the client, or shared. Tailor per client at onboarding. This document defines exactly what Technijian does and does not do on client systems and is the primary artifact for an MSP operating as an External Service Provider under the CMMC final rule.",CMMC Readiness / 32 CFR 170.19 ESP-SRM,Sai Revanth,16,One-time + per client engagement,No
CMMC-005,Add CUI Data Category and Handling Procedures to WISP,"Extend the WISP data classification (Section 5.1) to include Controlled Unclassified Information (CUI) and Federal Contract Information (FCI). Document CUI identification, marking, labeling, storage, transmission, media handling and transport, and destruction consistent with NIST 800-171 Media Protection controls. Train relevant staff on CUI handling.",CMMC Readiness / NIST 800-171 MP family,Sai Revanth,12,One-time + review annually,Yes
CMMC-006,Register as RPO and Certify Staff (RP/CCP),Register Technijian as a Registered Provider Organization (RPO) with the Cyber AB and enroll at least two staff as Registered Practitioners (RP) or Certified CMMC Professionals (CCP). This establishes demonstrable CMMC competency for client-facing conversations without misrepresenting certification status. Maintain credentials and directory listing currency.,CMMC Readiness / Cyber AB,Sai Revanth,16,One-time + maintain annually,Yes
CMMC-007,Establish CUI Asset Scoping Methodology and Diagrams,"Create a repeatable methodology to categorize client assets into CMMC scoping buckets (CUI Assets, Security Protection Assets, Contractor Risk Managed Assets, Specialized Assets, Out-of-Scope). Produce template network diagrams, data-flow diagrams, and CUI boundary diagrams used during client onboarding to define and prove the scope of Technijian access.",CMMC Readiness / 32 CFR 170.19,Sai Revanth,16,One-time + per client engagement,No
CMMC-008,Establish GCC High Capability and Reference CUI Enclave Architecture,"Establish Microsoft partner capability to provision and administer GCC High tenants. Design a reference CUI enclave architecture (segmented tenant and network, conditional access, FIPS-validated encryption, scoped admin access) that lets Technijian support DoD clients while keeping CUI isolated from out-of-scope access. Document the migration path from Commercial M365 to GCC High for clients that require it.",CMMC Readiness / DFARS 252.204-7012 SC family,Sai Revanth,40,One-time + maintain,Yes
CMMC-009,Implement and Document FIPS 140-2/3 Validated Cryptography,"Verify and document that cryptography protecting CUI uses FIPS 140-2/3 validated modules: enable BitLocker FIPS mode on endpoints handling CUI, confirm FIPS-validated VPN/TLS for transmission, and record CMVP certificate numbers. Remediate any non-validated cryptography in scope. Maintain an inventory of validated modules.",CMMC Readiness / NIST 800-171 SC.L2-3.13.11,Sai Revanth,16,One-time + verify annually,Yes
CMMC-010,Implement DFARS 7012 Cyber Incident Reporting Capability,"Build the capability to report cyber incidents to DoD within 72 hours via DIBNet. Obtain a DoD-approved medium-assurance (ECA) certificate, document the reporting procedure in the IRP, implement 90-day media and image preservation, and establish malware submission to the DoD Cyber Crime Center (DC3). Add a DFARS 7012 reporting checklist to incident playbooks.",CMMC Readiness / DFARS 252.204-7012,Sai Revanth,16,One-time + maintain,Yes
CMMC-011,Implement Non-Local Maintenance Controls for Remote Administration,"Enforce NIST 800-171 maintenance controls on Technijian remote administration of client systems: MFA for all non-local maintenance sessions, session audit/recording, termination of sessions on completion, and an approval workflow for remote maintenance. Verify RMM and remote-control tooling enforce these controls.",CMMC Readiness / NIST 800-171 MA.L2-3.7.5,Sai Revanth,12,One-time + review quarterly,Yes
CMMC-012,Establish Configuration Baselines and Application Allow-Listing,"Define and document secure configuration baselines for systems in CUI scope and enforce least functionality. Implement application allow-listing (deny-by-default execution) on endpoints handling CUI, control user-installed software, and track deviations. Extend beyond the existing CIS M365 hardening to host-level baselines.",CMMC Readiness / NIST 800-171 CM family,Sai Revanth,20,One-time + review quarterly,Yes
CMMC-013,Formalize Audit Log Retention and Protection,"Document and enforce audit logging requirements for CUI systems: define the log retention period, synchronize system time to an authoritative source, protect audit information from unauthorized access or modification, and set an audit review and reporting cadence within the existing SIEM (Huntress). Map to the NIST 800-171 AU family.",CMMC Readiness / NIST 800-171 AU family,Sai Revanth,12,One-time + review quarterly,Yes
CMMC-014,Implement US-Persons / CUI-Access Personnel Screening,"Establish personnel security controls for staff who access CUI environments: screen individuals prior to CUI access, document US-person status where required for export-controlled CUI/ITAR, and protect CUI during personnel actions (transfer and termination). Extend the existing HR background-screening process (WISP Section 15.1) with CUI-access requirements.",CMMC Readiness / NIST 800-171 PS family,Sai Revanth,8,One-time + per hire,No
CMMC-015,Assess Tool Stack for CMMC/FedRAMP Suitability,"Review every tool that would touch a CUI environment (RMM, SIEM, backup, remote control, documentation, ticketing) for FedRAMP authorization or GCC High compatibility. Determine for each whether it can operate inside the CUI enclave or must be scoped out. Document findings and select compliant alternatives where gaps exist.",CMMC Readiness / SC family,Sai Revanth,16,One-time + review annually,Yes
CMMC-016,Develop DoD-Client MSA/SOW Addendum,"Draft a contract addendum for DoD-adjacent clients covering: agreement to be named in the client SSP, willingness to be assessed as a Security Protection Asset within the client CMMC assessment, DFARS 252.204-7012/7021 flow-down acceptance, CUI handling terms, and a reference to the Customer Responsibility Matrix. Route through legal review before use.",CMMC Readiness / DFARS 252.204-7021,Sai Revanth,8,One-time + review annually,Yes
CMMC-017,Develop CUI-Specific Security Awareness Training,"Create and deliver a CUI handling training module for all staff who may access DoD client environments, covering CUI identification, marking, handling, incident reporting, and the consequences of mishandling. Track completion in the HR system. Supplement the annual security awareness training (WISP-019) for in-scope personnel.",CMMC Readiness / NIST 800-171 AT family,Sai Revanth,6,One-time + annually,Yes
CMMC-018,Pursue Technijian CMMC Level 2 Certification (Strategic),"If the DoD vertical justifies the investment, engage an authorized C3PAO to assess Technijian for CMMC Level 2 certification. Prerequisite: SSP, SPRS score, and POA&M complete with all 110 controls implemented. Budget 6-12 months and certification costs. Decision gated on DoD-client pipeline volume.",CMMC Readiness / 32 CFR Part 170,Sai Revanth,40,One-time strategic,No
CMMC-019,Document CMMC Scope Position (No CUI on Technijian Systems),"Write and approve Technijian's formal scoping stance: Technijian does not store, process, or transmit CUI on its own systems; the only client data reaching Technijian's data center is encrypted backup ciphertext with the client holding the encryption key; Technijian cannot decrypt. This is the architectural invariant every tool configuration must preserve, and it is provided to each client and assessor.",CMMC Tool-Stack Runbook Phase 0.1-0.2,Sai Revanth,6,One-time + review annually,Yes
CMMC-020,Stand Up Segregated CMMC Management Plane and Entra Groups,"Separate CMMC-client management from the commercial book of business: dedicated ScreenConnect session-group scope, a separate or scoped ManageEngine Endpoint Central instance, and dedicated admin workstations. Create least-privilege Entra security groups CMMC-ScreenConnect-Operators, CMMC-EC-Technicians, and CMMC-Backup-Admins to gate tool access and licensing. Document the separation.",CMMC Tool-Stack Runbook Phase 0.3-0.4,Sai Revanth,16,One-time + review quarterly,Yes
CMMC-021,Map Customer Responsibility Matrix to 320 L2 Assessment Objectives,"Extend the CRM template (CMMC-004) from the 110 controls down to all 320 CMMC Level 2 assessment objectives. Mark each objective Client, Technijian, or Shared with an implementation note, avoiding vague statements like 'Technijian handles security.' Align each client's SSP to the same split. This objective-level CRM is what carries Technijian through each client assessment.",CMMC Tool-Stack Runbook Phase 0.5 / 4.1,Sai Revanth,20,One-time + per client engagement,No
CMMC-022,NAKIVO FIPS-Validated Backup Encryption with Client-Held Key,"As part of the Veeam-to-NAKIVO migration, ensure CUI backups are encrypted with a FIPS 140-2/3 CMVP-validated module before data reaches Technijian storage, with the client holding the key. Choose Path A (FIPS-encrypt upstream with client key so NAKIVO moves ciphertext only) or Path B (run NAKIVO Transporters/repository on an OS in FIPS mode and verify NAKIVO honors the validated module). Enable NAKIVO source-side encryption; confirm Technijian's KMS does not hold the client key and Technijian cannot decrypt.",CMMC Tool-Stack Runbook Phase 1.1-1.3,Sai Revanth,24,One-time + verify per client,No
CMMC-023,Configure QNAP/Nimbus Storage as Ciphertext-Only Store,"Treat the QNAP/Nimbus backup target as a dumb store for already-encrypted blobs. Do not rely on device-level encryption for the FIPS compliance claim (modules likely lack an active CMVP certificate, and device-managed keys would let Technijian decrypt and fall into CUI scope). Confirm Technijian cannot decrypt anything at rest on the target.",CMMC Tool-Stack Runbook Phase 1.4,Sai Revanth,8,One-time + verify annually,Yes
CMMC-024,Verify Backup CMVP Module and Test Ciphertext-Only Restore,Look up the exact module performing backup FIPS encryption on the NIST CMVP validated-modules list; confirm an active (not Historical) certificate and record the certificate number. Test a full client-keyed restore end to end and confirm that without the client key the data is unrecoverable. Produce a one-page backup data-flow and key-custody diagram (source to FIPS encryption to transfer to ciphertext storage to restore) for the client SSP and CRM.,CMMC Tool-Stack Runbook Phase 1.5-1.7,Sai Revanth,12,One-time + verify annually,Yes
CMMC-025,Enable Windows FIPS Mode on Self-Hosted ScreenConnect,"Confirm ScreenConnect (ConnectWise Control) is self-hosted on Windows inside Technijian's boundary and document it. Enable Windows FIPS mode on the ScreenConnect server so session crypto uses the Microsoft Schannel CMVP-validated modules (ScreenConnect is FIPS-compliant, not FIPS-certified on its own). Enable FIPS mode on managed endpoints where feasible. Verify the Schannel module version against CMVP and record the certificate.",CMMC Tool-Stack Runbook Phase 2.1-2.2 / 2.7,Sai Revanth,12,One-time + verify annually,Yes
